















ویژگی,توضیحات,ماکسیمم,مینیموم,میانگین,انحراف معیار,نوع عدم قطعیت,نوع زبان شناختی,دامنه,ویژگی‌های برتر پیشنهادی,عبارات زبانی
Position_X,موقعیت ربات در محور X,100,0,50.0,15.0,1,نزدیک/دور,"[0, 100]",موقعیت,نزدیک به هدف
Position_Y,موقعیت ربات در محور Y,100,0,50.0,15.0,1,نزدیک/دور,"[0, 100]",موقعیت,نزدیک به هدف
Position_Z,موقعیت ربات در محور Z,100,0,50.0,15.0,1,نزدیک/دور,"[0, 100]",موقعیت,نزدیک به هدف
Velocity_X,سرعت ربات در محور X,10,-10,0.0,5.0,2,سریع/کند,"[-10, 10]",سرعت,سرعت بالا
Velocity_Y,سرعت ربات در محور Y,10,-10,0.0,5.0,2,سریع/کند,"[-10, 10]",سرعت,سرعت متوسط
Velocity_Z,سرعت ربات در محور Z,10,-10,0.0,5.0,2,سریع/کند,"[-10, 10]",سرعت,سرعت کم
Orientation_X,جهت‌گیری ربات در محور X,180,-180,0.0,45.0,1,چپ/راست,"[-180, 180]",جهت‌گیری,چرخش به چپ
Orientation_Y,جهت‌گیری ربات در محور Y,180,-180,0.0,45.0,1,بالا/پایین,"[-180, 180]",جهت‌گیری,حرکت به بالا
Orientation_Z,جهت‌گیری ربات در محور Z,180,-180,0.0,45.0,1,جلو/عقب,"[-180, 180]",جهت‌گیری,حرکت به جلو
AngularVelocity_X,سرعت زاویه‌ای ربات در محور X,5,-5,0.0,2.0,2,چرخش سریع,"[-5, 5]",سرعت زاویه‌ای,چرخش تند
AngularVelocity_Y,سرعت زاویه‌ای ربات در محور Y,5,-5,0.0,2.0,2,چرخش متوسط,"[-5, 5]",سرعت زاویه‌ای,چرخش ملایم
AngularVelocity_Z,سرعت زاویه‌ای ربات در محور Z,5,-5,0.0,2.0,2,چرخش آهسته,"[-5, 5]",سرعت زاویه‌ای,بدون چرخش
Distance_To_Goal,فاصله ربات تا هدف,50,0,25.0,10.0,1,نزدیک/دور,"[0, 50]",فاصله,بسیار نزدیک
Reward,پاداش دریافتی توسط ربات,1,-1,0.5,0.3,1,خوب/بد,"[-1, 1]",پاداش,پاداش زیاد
Fuzzy_State,وضعیت فازی ربات,10,0,5.0,2.0,2,مطمئن/نامطمئن,"[0, 10]",وضعیت فازی,وضعیت قطعی
